experiment_id,num_layers,layer_position,layer_type,fronting_sld,fronting_roughness,backing_sld,backing_roughness,sld,thickness,roughness
s000025,2,1,deposited_layer,4.32e-06,7.17,9.44582e-06,0.0,1.18787e-05,626.22,77.74
s000025,2,2,deposited_layer,4.32e-06,7.17,9.44582e-06,0.0,4.30493e-06,307.46,71.04
s000026,1,1,deposited_layer,4.32e-06,8.65,7.14796e-06,0.0,7.15566e-06,349.65,49.52
s000027,2,1,deposited_layer,4.32e-06,4.12,1.294e-05,0.0,6.32176e-06,746.83,128.47
s000027,2,2,deposited_layer,4.32e-06,4.12,1.294e-05,0.0,1.38831e-05,554.63,83.63
s000028,2,1,deposited_layer,2.07e-06,2.82,1.49176e-05,0.0,1.29572e-05,434.45,69.14
s000028,2,2,deposited_layer,2.07e-06,2.82,1.49176e-05,0.0,4.46075e-06,873.15,40.15
s000029,2,1,deposited_layer,3.5e-06,2.4,5.57812e-06,0.0,1.18293e-05,275.98,58.91
s000029,2,2,deposited_layer,3.5e-06,2.4,5.57812e-06,0.0,1.14716e-05,893.33,62.8
s000030,0,0,substrate_interface,0.0,4.38,5.53566e-06,0.0,,,
s000031,1,1,deposited_layer,0.0,7.9,4.14023e-06,0.0,1.27503e-05,618.57,51.75
s000032,0,0,substrate_interface,0.0,3.54,2.21463e-06,0.0,,,
s000033,1,1,deposited_layer,4.32e-06,3.52,4.63561e-06,0.0,1.09625e-05,245.25,28.62
s000034,0,0,substrate_interface,4.32e-06,6.92,1.48974e-05,0.0,,,
s000035,2,1,deposited_layer,3.5e-06,7.28,2.23201e-06,0.0,1.24192e-05,941.72,81.42
s000035,2,2,deposited_layer,3.5e-06,7.28,2.23201e-06,0.0,1.3031e-05,367.29,53.93
s000036,2,1,deposited_layer,3.5e-06,6.16,1.47648e-05,0.0,1.14436e-06,637.98,48.8
s000036,2,2,deposited_layer,3.5e-06,6.16,1.47648e-05,0.0,7.68638e-06,190.76,20.76
s000037,2,1,deposited_layer,4.32e-06,8.11,5.05205e-06,0.0,8.36514e-06,105.73,26.25
s000037,2,2,deposited_layer,4.32e-06,8.11,5.05205e-06,0.0,4.75451e-06,870.84,86.64
s000038,2,1,deposited_layer,0.0,8.77,8.97822e-06,0.0,1.15998e-05,596.24,121.1
s000038,2,2,deposited_layer,0.0,8.77,8.97822e-06,0.0,6.56348e-06,654.75,125.18
s000039,1,1,deposited_layer,3.5e-06,3.86,1.15487e-05,0.0,1.35725e-05,656.12,27.73
s000040,1,1,deposited_layer,4.32e-06,6.3,5.03738e-06,0.0,1.0309e-05,46.53,4.22
s000041,0,0,substrate_interface,2.07e-06,4.67,4.32465e-07,0.0,,,
s000042,0,0,substrate_interface,3.5e-06,2.02,4.40672e-06,0.0,,,
s000043,0,0,substrate_interface,2.07e-06,5.36,6.66516e-07,0.0,,,
s000044,2,1,deposited_layer,2.07e-06,1.89,1.0892e-07,0.0,6.11607e-06,267.86,34.21
s000044,2,2,deposited_layer,2.07e-06,1.89,1.0892e-07,0.0,1.02381e-05,387.93,11.61
s000045,2,1,deposited_layer,2.07e-06,1.84,9.69304e-06,0.0,5.16278e-06,365.96,55.87
s000045,2,2,deposited_layer,2.07e-06,1.84,9.69304e-06,0.0,4.25212e-06,336.77,52.52
s000046,2,1,deposited_layer,2.07e-06,5.11,4.07609e-06,0.0,8.80073e-06,120.22,29.39
s000046,2,2,deposited_layer,2.07e-06,5.11,4.07609e-06,0.0,9.64988e-06,1150.94,247.64
s000047,1,1,deposited_layer,4.32e-06,6.71,9.24022e-06,0.0,3.51012e-06,348.33,36.82
s000048,1,1,deposited_layer,4.32e-06,6.93,4.49003e-06,0.0,1.01125e-05,131.15,6.27
s000049,0,0,substrate_interface,3.5e-06,9.72,9.97413e-06,0.0,,,
s000050,2,1,deposited_layer,2.07e-06,6.87,1.8113e-06,0.0,1.11483e-05,430.57,81.18
s000050,2,2,deposited_layer,2.07e-06,6.87,1.8113e-06,0.0,5.69588e-06,427.05,7.03
s000051,0,0,substrate_interface,2.07e-06,9.25,3.49872e-06,0.0,,,
s000052,2,1,deposited_layer,4.32e-06,4.73,5.22796e-07,0.0,6.94979e-06,486.35,96.92
s000052,2,2,deposited_layer,4.32e-06,4.73,5.22796e-07,0.0,2.66482e-06,288.47,1.35
s000053,0,0,substrate_interface,3.5e-06,7.53,1.04532e-05,0.0,,,
s000054,0,0,substrate_interface,0.0,8.37,-4.96421e-07,0.0,,,
s000055,0,0,substrate_interface,0.0,1.3,6.35799e-06,0.0,,,
s000056,0,0,substrate_interface,0.0,5.99,3.98704e-06,0.0,,,
s000057,2,1,deposited_layer,2.07e-06,6.15,1.03528e-05,0.0,1.33552e-06,743.34,79.52
s000057,2,2,deposited_layer,2.07e-06,6.15,1.03528e-05,0.0,1.43483e-05,455.0,69.16
s000058,2,1,deposited_layer,2.07e-06,4.51,4.65857e-06,0.0,5.31559e-06,677.26,56.33
s000058,2,2,deposited_layer,2.07e-06,4.51,4.65857e-06,0.0,1.44669e-07,398.91,36.1
s000059,0,0,substrate_interface,4.32e-06,4.72,1.31185e-05,0.0,,,
s000060,2,1,deposited_layer,3.5e-06,1.42,5.46329e-07,0.0,1.78616e-06,588.39,95.36
s000060,2,2,deposited_layer,3.5e-06,1.42,5.46329e-07,0.0,1.08894e-05,414.08,40.72
s000061,2,1,deposited_layer,3.5e-06,3.45,2.34198e-06,0.0,9.22099e-06,727.0,76.97
s000061,2,2,deposited_layer,3.5e-06,3.45,2.34198e-06,0.0,1.54379e-06,545.89,97.15
s000062,2,1,deposited_layer,3.5e-06,5.03,-3.62464e-08,0.0,8.03451e-06,400.29,33.73
s000062,2,2,deposited_layer,3.5e-06,5.03,-3.62464e-08,0.0,8.25668e-06,914.54,98.56
s000063,2,1,deposited_layer,2.07e-06,4.74,1.36426e-06,0.0,9.05874e-06,282.53,60.92
s000063,2,2,deposited_layer,2.07e-06,4.74,1.36426e-06,0.0,1.25136e-06,1147.87,134.03
s000064,1,1,deposited_layer,2.07e-06,1.21,8.22668e-07,0.0,1.07913e-05,454.49,85.29
s000065,1,1,deposited_layer,4.32e-06,7.08,3.39204e-06,0.0,2.19218e-06,879.83,70.65
s000066,2,1,deposited_layer,4.32e-06,4.82,4.23713e-06,0.0,1.53183e-07,442.03,75.24
s000066,2,2,deposited_layer,4.32e-06,4.82,4.23713e-06,0.0,1.47864e-05,960.53,53.06
s000067,2,1,deposited_layer,4.32e-06,6.83,9.52091e-06,0.0,2.86048e-06,299.3,15.07
s000067,2,2,deposited_layer,4.32e-06,6.83,9.52091e-06,0.0,7.68704e-06,119.98,26.71
s000068,1,1,deposited_layer,2.07e-06,5.79,-1.67133e-08,0.0,1.6555e-06,1228.35,209.86
s000069,1,1,deposited_layer,0.0,6.75,8.6091e-06,0.0,1.35228e-05,914.01,15.6
s000070,2,1,deposited_layer,4.32e-06,5.75,2.3668e-07,0.0,1.04997e-05,328.99,68.57
s000070,2,2,deposited_layer,4.32e-06,5.75,2.3668e-07,0.0,9.85371e-07,338.34,42.29
s000071,2,1,deposited_layer,0.0,7.67,1.27355e-07,0.0,1.31955e-05,799.21,28.29
s000071,2,2,deposited_layer,0.0,7.67,1.27355e-07,0.0,5.74817e-06,153.2,17.98
s000072,1,1,deposited_layer,4.32e-06,5.74,1.25976e-05,0.0,4.13142e-06,984.42,58.27
s000073,2,1,deposited_layer,2.07e-06,3.85,5.19737e-06,0.0,2.78169e-06,593.78,2.62
s000073,2,2,deposited_layer,2.07e-06,3.85,5.19737e-06,0.0,5.91504e-06,53.92,6.04
s000074,1,1,deposited_layer,0.0,2.02,1.20908e-05,0.0,1.69629e-06,1398.67,245.93
s000075,0,0,substrate_interface,2.07e-06,2.79,6.84031e-06,0.0,,,
s000076,2,1,deposited_layer,4.32e-06,7.62,9.10469e-06,0.0,7.77784e-08,343.56,15.95
s000076,2,2,deposited_layer,4.32e-06,7.62,9.10469e-06,0.0,1.20902e-05,926.68,68.97
s000077,1,1,deposited_layer,4.32e-06,9.14,5.00419e-06,0.0,4.41669e-06,1398.3,346.73
s000078,1,1,deposited_layer,4.32e-06,8.95,4.85848e-06,0.0,4.36285e-06,66.08,9.77
s000079,2,1,deposited_layer,3.5e-06,4.08,5.4952e-06,0.0,8.66124e-06,428.07,40.88
s000079,2,2,deposited_layer,3.5e-06,4.08,5.4952e-06,0.0,-1.47103e-07,432.53,107.42
s000080,0,0,substrate_interface,0.0,3.39,7.71009e-06,0.0,,,
s000081,0,0,substrate_interface,4.32e-06,4.53,2.968e-09,0.0,,,
s000082,2,1,deposited_layer,3.5e-06,3.86,1.7255e-06,0.0,-1.97662e-07,29.54,6.6
s000082,2,2,deposited_layer,3.5e-06,3.86,1.7255e-06,0.0,-3.57901e-08,1187.54,91.47
s000083,1,1,deposited_layer,2.07e-06,7.01,8.43898e-06,0.0,9.89386e-06,331.55,63.77
s000084,2,1,deposited_layer,3.5e-06,4.83,1.63685e-06,0.0,9.52005e-06,100.67,7.42
s000084,2,2,deposited_layer,3.5e-06,4.83,1.63685e-06,0.0,1.01054e-05,1100.86,236.03
s000085,2,1,deposited_layer,4.32e-06,3.42,6.1128e-06,0.0,1.42661e-05,984.92,101.01
s000085,2,2,deposited_layer,4.32e-06,3.42,6.1128e-06,0.0,1.40096e-05,498.91,42.02
s000086,2,1,deposited_layer,2.07e-06,1.83,2.67163e-06,0.0,9.19425e-06,992.11,2.04
s000086,2,2,deposited_layer,2.07e-06,1.83,2.67163e-06,0.0,-1.64663e-07,183.13,41.31
s000087,2,1,deposited_layer,2.07e-06,1.49,4.02919e-06,0.0,-4.49697e-07,210.88,4.9
s000087,2,2,deposited_layer,2.07e-06,1.49,4.02919e-06,0.0,2.07553e-06,825.93,114.39
s000088,2,1,deposited_layer,2.07e-06,2.6,4.4543e-06,0.0,2.87077e-06,332.16,70.19
s000088,2,2,deposited_layer,2.07e-06,2.6,4.4543e-06,0.0,4.2234e-06,669.86,59.03
s000089,1,1,deposited_layer,0.0,5.71,1.17278e-05,0.0,7.77002e-06,778.06,35.63
s000090,2,1,deposited_layer,4.32e-06,3.2,5.68814e-06,0.0,-3.24345e-07,70.21,11.64
s000090,2,2,deposited_layer,4.32e-06,3.2,5.68814e-06,0.0,1.44172e-05,622.21,69.33
s000091,2,1,deposited_layer,4.32e-06,9.47,7.76229e-06,0.0,1.44982e-05,71.68,5.13
s000091,2,2,deposited_layer,4.32e-06,9.47,7.76229e-06,0.0,1.17455e-05,1426.86,309.44
s000092,0,0,substrate_interface,3.5e-06,3.56,1.43206e-05,0.0,,,
s000093,0,0,substrate_interface,0.0,3.75,8.45073e-06,0.0,,,
s000094,0,0,substrate_interface,3.5e-06,4.59,5.09313e-06,0.0,,,
s000095,0,0,substrate_interface,4.32e-06,9.48,8.42798e-06,0.0,,,
s000096,0,0,substrate_interface,4.32e-06,5.83,1.07214e-05,0.0,,,
s000097,0,0,substrate_interface,4.32e-06,9.51,4.05868e-06,0.0,,,
s000098,1,1,deposited_layer,0.0,4.0,1.0453e-05,0.0,4.39771e-06,303.33,22.56
s000099,0,0,substrate_interface,2.07e-06,1.11,2.21214e-06,0.0,,,
s000100,2,1,deposited_layer,3.5e-06,4.1,1.49656e-05,0.0,5.04845e-06,194.11,10.55
s000100,2,2,deposited_layer,3.5e-06,4.1,1.49656e-05,0.0,1.7532e-06,1019.43,151.6
s000101,1,1,deposited_layer,4.32e-06,2.55,8.12474e-06,0.0,1.23286e-05,1264.97,311.38
s000102,2,1,deposited_layer,0.0,3.65,-3.37578e-07,0.0,7.2109e-06,997.94,108.45
s000102,2,2,deposited_layer,0.0,3.65,-3.37578e-07,0.0,1.3348e-05,247.99,57.48
s000103,2,1,deposited_layer,0.0,2.66,5.58823e-06,0.0,1.42232e-05,651.22,6.5
s000103,2,2,deposited_layer,0.0,2.66,5.58823e-06,0.0,8.07761e-06,772.05,150.09
s000104,2,1,deposited_layer,3.5e-06,7.0,1.54328e-06,0.0,9.06759e-06,447.16,88.63
s000104,2,2,deposited_layer,3.5e-06,7.0,1.54328e-06,0.0,1.0235e-05,962.35,25.24
s000105,2,1,deposited_layer,3.5e-06,2.03,2.75491e-06,0.0,1.06984e-05,998.15,197.73
s000105,2,2,deposited_layer,3.5e-06,2.03,2.75491e-06,0.0,3.61303e-06,410.0,85.46
s000106,1,1,deposited_layer,2.07e-06,8.71,9.86097e-06,0.0,7.11969e-06,1408.57,271.28
s000107,1,1,deposited_layer,4.32e-06,4.29,9.84422e-06,0.0,4.9696e-06,1320.66,239.13
s000108,0,0,substrate_interface,4.32e-06,9.85,8.66293e-07,0.0,,,
s000109,2,1,deposited_layer,0.0,7.88,5.18884e-06,0.0,4.07444e-06,992.57,176.38
s000109,2,2,deposited_layer,0.0,7.88,5.18884e-06,0.0,9.23253e-06,427.7,99.06
s000110,1,1,deposited_layer,2.07e-06,3.77,7.52655e-06,0.0,3.3379e-06,212.1,45.55
s000111,2,1,deposited_layer,0.0,5.78,1.48809e-05,0.0,8.20343e-06,710.76,69.34
s000111,2,2,deposited_layer,0.0,5.78,1.48809e-05,0.0,1.53601e-06,463.4,30.26
s000112,1,1,deposited_layer,0.0,9.2,1.06986e-06,0.0,1.40793e-05,913.11,77.77
s000113,2,1,deposited_layer,2.07e-06,6.0,1.38294e-06,0.0,1.14494e-05,542.2,64.02
s000113,2,2,deposited_layer,2.07e-06,6.0,1.38294e-06,0.0,5.64555e-06,478.29,98.0
s000114,0,0,substrate_interface,3.5e-06,4.9,1.67445e-06,0.0,,,
s000115,0,0,substrate_interface,3.5e-06,5.39,4.54006e-06,0.0,,,
s000116,2,1,deposited_layer,4.32e-06,6.12,1.34171e-05,0.0,7.91584e-06,499.15,97.59
s000116,2,2,deposited_layer,4.32e-06,6.12,1.34171e-05,0.0,2.67966e-06,960.89,226.72
s000117,1,1,deposited_layer,0.0,1.87,9.21259e-06,0.0,1.356e-05,1330.74,199.92
s000118,2,1,deposited_layer,0.0,2.49,1.49903e-05,0.0,4.81791e-06,114.46,1.29
s000118,2,2,deposited_layer,0.0,2.49,1.49903e-05,0.0,1.38167e-05,60.55,12.18
s000119,2,1,deposited_layer,4.32e-06,4.62,7.53183e-06,0.0,1.22238e-05,370.84,81.99
s000119,2,2,deposited_layer,4.32e-06,4.62,7.53183e-06,0.0,7.81753e-06,336.76,17.47
s000120,0,0,substrate_interface,3.5e-06,1.25,1.031e-05,0.0,,,
s000121,2,1,deposited_layer,2.07e-06,3.41,1.92797e-06,0.0,2.10194e-09,931.26,39.2
s000121,2,2,deposited_layer,2.07e-06,3.41,1.92797e-06,0.0,1.00913e-06,103.06,1.37
s000122,1,1,deposited_layer,4.32e-06,5.43,1.20689e-05,0.0,1.0584e-05,979.93,87.66
s000123,0,0,substrate_interface,0.0,1.12,1.09209e-05,0.0,,,
s000124,2,1,deposited_layer,0.0,4.04,1.2578e-05,0.0,9.08231e-06,471.31,71.48
s000124,2,2,deposited_layer,0.0,4.04,1.2578e-05,0.0,2.94697e-06,743.41,7.74
s000125,0,0,substrate_interface,2.07e-06,1.77,1.43362e-05,0.0,,,
s000126,2,1,deposited_layer,0.0,9.93,7.98221e-06,0.0,9.95955e-06,759.13,24.91
s000126,2,2,deposited_layer,0.0,9.93,7.98221e-06,0.0,8.63634e-06,398.49,79.76
s000127,1,1,deposited_layer,3.5e-06,6.45,1.03964e-05,0.0,5.04102e-06,243.18,53.01
s000128,1,1,deposited_layer,2.07e-06,3.34,7.47924e-07,0.0,2.18227e-06,702.53,99.29
s000129,1,1,deposited_layer,2.07e-06,6.78,5.38451e-06,0.0,1.49701e-05,1444.77,320.71
s000130,2,1,deposited_layer,0.0,8.93,1.48725e-05,0.0,1.60246e-07,997.8,161.96
s000130,2,2,deposited_layer,0.0,8.93,1.48725e-05,0.0,6.85393e-06,434.29,37.55
s000131,1,1,deposited_layer,0.0,9.24,1.48759e-05,0.0,1.46921e-05,1074.71,130.88
s000132,0,0,substrate_interface,2.07e-06,8.92,-4.3467e-08,0.0,,,
s000133,2,1,deposited_layer,0.0,5.08,1.8968e-06,0.0,1.27621e-05,994.26,65.99
s000133,2,2,deposited_layer,0.0,5.08,1.8968e-06,0.0,1.29316e-05,493.1,118.54
s000134,2,1,deposited_layer,4.32e-06,5.61,-4.6177e-07,0.0,8.61038e-06,591.88,111.77
s000134,2,2,deposited_layer,4.32e-06,5.61,-4.6177e-07,0.0,7.02267e-06,267.56,54.83
s000135,1,1,deposited_layer,2.07e-06,7.52,1.1527e-05,0.0,1.32705e-06,747.31,127.98
s000136,0,0,substrate_interface,2.07e-06,4.43,-2.46e-07,0.0,,,
s000137,1,1,deposited_layer,3.5e-06,7.21,1.28037e-05,0.0,1.20612e-05,40.24,1.77
s000138,1,1,deposited_layer,4.32e-06,7.53,4.86536e-07,0.0,1.48944e-05,699.35,156.18
s000139,2,1,deposited_layer,2.07e-06,6.74,1.14679e-05,0.0,6.76369e-06,563.96,4.11
s000139,2,2,deposited_layer,2.07e-06,6.74,1.14679e-05,0.0,1.35089e-05,397.98,20.89
s000140,1,1,deposited_layer,2.07e-06,9.47,2.65502e-06,0.0,2.47082e-06,622.26,141.36
s000141,2,1,deposited_layer,2.07e-06,4.41,9.65157e-06,0.0,6.57693e-06,668.3,104.05
s000141,2,2,deposited_layer,2.07e-06,4.41,9.65157e-06,0.0,6.3345e-06,664.24,155.64
s000142,1,1,deposited_layer,2.07e-06,5.81,1.13163e-05,0.0,8.12583e-06,1276.92,37.77
s000143,1,1,deposited_layer,2.07e-06,2.76,7.49338e-06,0.0,3.63842e-06,83.32,20.34
s000144,1,1,deposited_layer,3.5e-06,9.53,1.12944e-05,0.0,3.27589e-06,1155.64,76.36
s000145,1,1,deposited_layer,3.5e-06,4.72,1.22272e-05,0.0,5.68237e-06,1417.03,31.74
s000146,1,1,deposited_layer,4.32e-06,5.52,8.23179e-07,0.0,1.51244e-06,1110.42,8.46
s000147,0,0,substrate_interface,2.07e-06,3.62,3.92964e-06,0.0,,,
s000148,0,0,substrate_interface,4.32e-06,2.91,1.30964e-05,0.0,,,
s000149,2,1,deposited_layer,3.5e-06,1.28,1.39928e-05,0.0,1.02009e-05,840.37,147.58
s000149,2,2,deposited_layer,3.5e-06,1.28,1.39928e-05,0.0,7.64339e-07,513.05,62.67
s000150,0,0,substrate_interface,3.5e-06,1.55,-4.82206e-07,0.0,,,
s000151,2,1,deposited_layer,0.0,9.05,5.53923e-06,0.0,7.91208e-06,854.21,2.21
s000151,2,2,deposited_layer,0.0,9.05,5.53923e-06,0.0,-2.40805e-07,208.9,19.89
s000152,0,0,substrate_interface,3.5e-06,3.9,5.8646e-06,0.0,,,
s000153,2,1,deposited_layer,2.07e-06,6.77,-1.66499e-07,0.0,9.32494e-06,738.1,129.53
s000153,2,2,deposited_layer,2.07e-06,6.77,-1.66499e-07,0.0,1.33641e-05,574.95,130.0
s000154,1,1,deposited_layer,2.07e-06,4.6,6.55777e-06,0.0,3.12376e-06,835.51,35.49
s000155,2,1,deposited_layer,2.07e-06,4.84,4.13469e-07,0.0,9.58225e-06,553.86,41.53
s000155,2,2,deposited_layer,2.07e-06,4.84,4.13469e-07,0.0,1.49185e-05,717.02,93.84
s000156,0,0,substrate_interface,0.0,7.54,1.18134e-05,0.0,,,
s000157,2,1,deposited_layer,0.0,3.89,2.42168e-06,0.0,1.185e-05,599.7,31.08
s000157,2,2,deposited_layer,0.0,3.89,2.42168e-06,0.0,2.84235e-06,224.74,13.16
s000158,1,1,deposited_layer,4.32e-06,1.72,2.64321e-06,0.0,9.71266e-06,1064.79,141.53
s000159,2,1,deposited_layer,2.07e-06,7.54,9.56664e-07,0.0,4.40217e-06,29.35,6.95
s000159,2,2,deposited_layer,2.07e-06,7.54,9.56664e-07,0.0,2.3939e-06,1108.8,171.22
s000160,0,0,substrate_interface,4.32e-06,7.42,5.70586e-06,0.0,,,
s000161,2,1,deposited_layer,2.07e-06,2.84,1.30734e-06,0.0,1.47228e-05,862.8,155.99
s000161,2,2,deposited_layer,2.07e-06,2.84,1.30734e-06,0.0,7.61191e-06,447.67,18.96
s000162,2,1,deposited_layer,4.32e-06,5.67,1.03186e-05,0.0,3.41859e-06,961.11,55.26
s000162,2,2,deposited_layer,4.32e-06,5.67,1.03186e-05,0.0,9.15071e-06,507.26,5.96
s000163,1,1,deposited_layer,4.32e-06,2.67,7.1831e-06,0.0,-2.09705e-07,1367.48,93.64
s000164,0,0,substrate_interface,3.5e-06,6.43,2.3272e-06,0.0,,,
s000165,0,0,substrate_interface,4.32e-06,9.03,7.76052e-06,0.0,,,
s000166,2,1,deposited_layer,2.07e-06,3.85,7.8166e-06,0.0,9.44366e-06,404.78,32.77
s000166,2,2,deposited_layer,2.07e-06,3.85,7.8166e-06,0.0,1.25309e-05,310.33,38.23
s000167,2,1,deposited_layer,0.0,2.59,8.94454e-06,0.0,1.55454e-06,828.48,186.08
s000167,2,2,deposited_layer,0.0,2.59,8.94454e-06,0.0,8.64189e-06,388.26,40.44
s000168,1,1,deposited_layer,4.32e-06,3.87,8.60168e-06,0.0,5.11963e-07,1157.07,207.38
s000169,2,1,deposited_layer,4.32e-06,4.98,6.16037e-06,0.0,1.22592e-05,63.27,8.07
s000169,2,2,deposited_layer,4.32e-06,4.98,6.16037e-06,0.0,5.67295e-06,987.03,49.25
s000170,1,1,deposited_layer,4.32e-06,9.46,3.19366e-06,0.0,7.76026e-06,744.9,160.95
s000171,2,1,deposited_layer,0.0,4.92,9.68848e-06,0.0,8.88385e-06,384.8,47.83
s000171,2,2,deposited_layer,0.0,4.92,9.68848e-06,0.0,2.30554e-06,139.83,13.06
s000172,0,0,substrate_interface,2.07e-06,6.67,1.48391e-05,0.0,,,
s000173,1,1,deposited_layer,2.07e-06,9.4,3.95418e-06,0.0,4.2458e-06,872.0,146.58
s000174,2,1,deposited_layer,3.5e-06,2.17,2.65836e-06,0.0,1.06081e-05,431.68,44.05
s000174,2,2,deposited_layer,3.5e-06,2.17,2.65836e-06,0.0,1.84418e-06,671.22,39.76
s000175,1,1,deposited_layer,4.32e-06,9.7,3.40717e-06,0.0,6.19205e-06,146.52,4.47
s000176,0,0,substrate_interface,2.07e-06,6.98,1.49397e-05,0.0,,,
s000177,1,1,deposited_layer,2.07e-06,8.41,4.25584e-06,0.0,7.94703e-06,1436.65,150.99
s000178,0,0,substrate_interface,0.0,4.11,5.95289e-06,0.0,,,
s000179,2,1,deposited_layer,4.32e-06,2.77,1.13024e-05,0.0,9.96881e-06,933.15,28.53
s000179,2,2,deposited_layer,4.32e-06,2.77,1.13024e-05,0.0,1.01793e-05,306.54,36.15
s000180,1,1,deposited_layer,4.32e-06,7.5,9.65099e-06,0.0,1.84898e-06,1350.1,101.02
s000181,1,1,deposited_layer,2.07e-06,1.64,8.82077e-06,0.0,4.94569e-06,972.55,1.78
s000182,0,0,substrate_interface,3.5e-06,5.29,7.07742e-06,0.0,,,
s000183,2,1,deposited_layer,2.07e-06,5.61,1.83678e-06,0.0,4.44678e-06,361.85,33.29
s000183,2,2,deposited_layer,2.07e-06,5.61,1.83678e-06,0.0,1.1157e-05,186.75,21.39
s000184,2,1,deposited_layer,2.07e-06,6.15,2.9214e-06,0.0,6.96971e-06,33.08,1.49
s000184,2,2,deposited_layer,2.07e-06,6.15,2.9214e-06,0.0,5.49953e-06,612.53,97.69
s000185,1,1,deposited_layer,4.32e-06,5.49,5.82964e-06,0.0,1.16198e-05,918.99,171.55
s000186,2,1,deposited_layer,3.5e-06,9.28,1.42006e-07,0.0,9.73941e-06,961.31,198.8
s000186,2,2,deposited_layer,3.5e-06,9.28,1.42006e-07,0.0,9.67828e-06,511.7,8.92
s000187,0,0,substrate_interface,3.5e-06,2.71,7.38694e-06,0.0,,,
s000188,2,1,deposited_layer,3.5e-06,5.02,1.25694e-05,0.0,9.13018e-06,584.88,56.73
s000188,2,2,deposited_layer,3.5e-06,5.02,1.25694e-05,0.0,1.4918e-05,856.26,172.7
s000189,0,0,substrate_interface,2.07e-06,2.21,8.51159e-06,0.0,,,
